[Application]
Name=DataLog.exe
Title=Valeport Datalog X2
Version=1.0.4.1270
DateSeparator=/
TimeSeparator=:
ThousandSeparator=,
DecimalSeparator=.

[Header]
Count=43
Instrument=
Device_Series=
Device_Type=
Serial_Number=
Firmware=
Latitude=
Longitude=
Site_Info=
Sampling_Mode=
Sampling_Rate=
Sampling_Period=
Average_Type=
Average_Period=
File_Number=
Density=1025.973
Gravity=9.807
Battery=
Pressure_Tare=10.738
Pressure_Tare_Mode=
Pressure_Tare_Time=
Time_Stamp=16/10/2018 08:50:07
Time_Interval=60
Previous File Location=5663414
No of Bytes Stored in Previous File=532
Model Name=MONITOR SVP 500
File Name=UNKNOWN
Site Information=L4 2018.06.26 MBASEPIA
Serial No.=26869
No. of Modules Connected=2
Fitted Address List=12;20
Parameters for each module=1;2
Secondary Cal Used=1;0;0;1;1;0
Gain=1000;0;0;80;1000;0
Offset=0;0;0;-20000;-20000;0
Gain Control Settings=163;19
SD Selected Flag=1
Average Mode=NONE
Moving Average Length=1
Sample Mode=CONT
Sample Rate=8.0
Sample Period=10
Tare Time Stamp=26/06/2018 09:42:15
External PSU Voltage=10

[Calibrations]
Count=0

[Columns]
Count=7
Date/Time=Date/Time;;
Depth=Float;m;Calculated
Sound Velocity=Float;M/SEC;
Pressure=Float;DBAR;
Temperature=Float;C;
Salinity=Float;PSU;Calculated
Density=Float;kg/m³;Calculated

[Data]
Date/Time	Depth	Sound Velocity	Pressure	Temperature	Salinity	Density
16/10/2018 08:50:46	0.000	1493.346	0.000	14.724	24.288	1017.786
16/10/2018 08:50:46	0.050	1493.378	0.050	14.720	24.326	1017.817
16/10/2018 08:50:46	0.080	1493.450	0.075	14.716	24.399	1017.873
16/10/2018 08:50:46	0.090	1493.572	0.087	14.711	24.517	1017.966
16/10/2018 08:50:46	0.110	1493.760	0.112	14.708	24.687	1018.097
16/10/2018 08:50:46	0.140	1493.909	0.137	14.702	24.831	1018.209
16/10/2018 08:50:47	0.200	1493.473	0.200	14.693	24.482	1017.942
16/10/2018 08:50:47	0.260	1493.409	0.262	14.684	24.451	1017.921
16/10/2018 08:50:47	0.290	1493.555	0.287	14.678	24.593	1018.031
16/10/2018 08:50:47	0.340	1493.707	0.337	14.677	24.726	1018.134
16/10/2018 08:50:47	0.380	1493.932	0.375	14.682	24.904	1018.270
16/10/2018 08:50:47	0.410	1494.177	0.412	14.689	25.094	1018.415
16/10/2018 08:50:47	0.480	1494.451	0.475	14.694	25.315	1018.583
16/10/2018 08:50:47	0.520	1494.782	0.525	14.700	25.581	1018.787
16/10/2018 08:50:48	0.580	1494.901	0.575	14.705	25.668	1018.853
16/10/2018 08:50:48	0.610	1494.947	0.612	14.710	25.693	1018.872
16/10/2018 08:50:48	0.650	1494.993	0.650	14.713	25.724	1018.895
16/10/2018 08:50:48	0.690	1495.032	0.687	14.717	25.746	1018.911
16/10/2018 08:50:48	0.740	1495.078	0.737	14.720	25.776	1018.934
16/10/2018 08:50:48	0.770	1495.248	0.775	14.721	25.919	1019.043
16/10/2018 08:50:48	0.830	1495.330	0.825	14.723	25.983	1019.092
16/10/2018 08:50:48	0.860	1495.557	0.862	14.731	26.155	1019.223
16/10/2018 08:50:49	0.900	1495.855	0.900	14.740	26.385	1019.398
16/10/2018 08:50:49	0.910	1495.703	0.912	14.747	26.234	1019.281
16/10/2018 08:50:49	0.950	1495.724	0.950	14.750	26.243	1019.288
16/10/2018 08:50:49	0.980	1496.182	0.975	14.755	26.622	1019.578
16/10/2018 08:50:49	1.000	1496.308	1.000	14.760	26.716	1019.650
16/10/2018 08:50:49	1.050	1496.389	1.050	14.763	26.777	1019.696
16/10/2018 08:50:49	1.100	1496.918	1.100	14.770	27.211	1020.028
16/10/2018 08:50:49	1.140	1497.339	1.137	14.778	27.550	1020.287
16/10/2018 08:50:50	1.160	1498.090	1.162	14.792	28.155	1020.750
16/10/2018 08:50:50	1.190	1498.672	1.187	14.804	28.622	1021.107
16/10/2018 08:50:50	1.210	1498.967	1.212	14.820	28.831	1021.264
16/10/2018 08:50:50	1.230	1499.341	1.225	14.836	29.107	1021.474
16/10/2018 08:50:50	1.240	1499.363	1.237	14.858	29.067	1021.438
16/10/2018 08:50:50	1.280	1499.542	1.275	14.873	29.177	1021.520
16/10/2018 08:50:50	1.330	1499.755	1.325	14.884	29.329	1021.635
16/10/2018 08:50:51	1.380	1499.966	1.375	14.893	29.484	1021.753
16/10/2018 08:50:51	1.410	1500.198	1.412	14.900	29.664	1021.890
16/10/2018 08:50:51	1.460	1500.413	1.462	14.909	29.823	1022.010
16/10/2018 08:50:51	1.500	1500.559	1.500	14.916	29.929	1022.090
16/10/2018 08:50:51	1.540	1500.629	1.537	14.921	29.975	1022.125
16/10/2018 08:50:51	1.580	1500.675	1.575	14.927	29.997	1022.141
