[Application]
Name=DataLog.exe
Title=Valeport Datalog X2
Version=1.0.4.1270
DateSeparator=/
TimeSeparator=:
ThousandSeparator=,
DecimalSeparator=.

[Header]
Count=45
Instrument=
Device_Series=400
Device_Type=606 (5000DBAR)
Serial_Number=20166
Firmware=0400703Z
Latitude=
Longitude=
Site_Info=MBA SEPIA
Sampling_Mode=2 Continuous
Sampling_Rate=8 Hz
Sampling_Period=5 Secs
Average_Type=0 None
Average_Period=1 Secs
File_Number=12
Density=1025.973
Gravity=9.807
Battery=11.54 Volts
Pressure_Tare=11.375
Pressure_Tare_Mode=
Pressure_Tare_Time=2018/08/13 10:08:09.000
Time_Stamp=15/10/2018 13:01:18
Time_Interval=120
Application_Name=Valeport Datalog X2
Application_Version=1.0.4.1270
Previous File Location=2387180
No of Bytes Stored in Previous File=28090
Model Name=606 (5000DBAR)
File Name=UNKNOWN
Site Information=MBA SEPIA
Serial No.=20166
No. of Modules Connected=2
Fitted Address List=10;20
Parameters for each module=1;2
Secondary Cal Used=1;0;0;1;1;0
Gain=500;0;0;8;1000;0
Offset=-20000;0;0;-20000;-20000;0
Gain Control Settings=0;154
SD Selected Flag=1
Average Mode=NONE
Moving Average Length=1
Sample Mode=CONT
Sample Rate=8
Sample Period=5
Tare Time Stamp=13/08/2018 10:08:09
External PSU Voltage=11

[Columns]
Count=8
Date/Time=Date/Time;;
Depth=Float;m;Calculated
Conductivity=Float;MS/CM;
Pressure=Float;DBAR;
Temperature=Float;C;
Salinity=Float;PSU;Calculated
Sound Velocity=Float;M/SEC;Calculated
Density=Float;kg/m³;Calculated

[Data]
Date/Time	Depth	Conductivity	Pressure	Temperature	Salinity	Sound Velocity	Density
15/10/2018 13:01:55	0.000	0.007	0.000	16.846	0.010	1472.253	998.809
15/10/2018 13:01:48	0.130	0.165	0.125	16.903	0.135	1472.566	998.892
15/10/2018 13:01:45	0.250	1.145	0.250	17.106	0.911	1474.149	999.453
15/10/2018 13:02:19	0.380	33.382	0.375	15.000	26.466	1496.766	1019.406
15/10/2018 13:02:19	0.500	33.375	0.500	14.966	26.483	1496.676	1019.427
15/10/2018 13:02:20	0.630	33.859	0.625	14.948	26.920	1497.129	1019.766
15/10/2018 13:02:20	0.750	34.000	0.750	14.931	27.056	1497.233	1019.875
15/10/2018 13:02:20	0.880	33.997	0.875	14.906	27.072	1497.169	1019.893
15/10/2018 13:02:21	1.000	33.956	1.000	14.893	27.044	1497.099	1019.875
15/10/2018 13:02:21	1.130	33.953	1.125	14.887	27.046	1497.083	1019.877
15/10/2018 13:02:21	1.250	33.965	1.250	14.884	27.058	1497.091	1019.888
15/10/2018 13:02:21	1.380	33.978	1.375	14.884	27.069	1497.105	1019.897
15/10/2018 13:02:21	1.500	33.985	1.500	14.885	27.075	1497.116	1019.902
15/10/2018 13:02:22	1.630	34.152	1.625	14.883	27.224	1497.285	1020.017
15/10/2018 13:02:22	1.880	34.380	1.875	14.878	27.428	1497.511	1020.177
15/10/2018 13:02:22	2.000	34.420	2.000	14.874	27.467	1497.544	1020.208
15/10/2018 13:02:22	2.130	34.484	2.125	14.872	27.524	1497.607	1020.253
15/10/2018 13:02:23	2.250	34.607	2.250	14.871	27.634	1497.732	1020.338
15/10/2018 13:02:23	2.380	34.719	2.375	14.869	27.734	1497.846	1020.416
15/10/2018 13:02:23	2.500	34.775	2.500	14.867	27.786	1497.899	1020.457
15/10/2018 13:02:24	2.630	34.785	2.625	14.866	27.795	1497.909	1020.464
15/10/2018 13:02:24	2.750	34.776	2.750	14.864	27.788	1497.899	1020.460
15/10/2018 13:02:24	2.880	34.776	2.875	14.863	27.789	1497.898	1020.461
15/10/2018 13:02:25	3.000	34.785	3.000	14.863	27.797	1497.907	1020.469
15/10/2018 13:02:25	3.130	34.807	3.125	14.860	27.819	1497.927	1020.486
15/10/2018 13:02:25	3.250	34.796	3.250	14.858	27.809	1497.913	1020.480
15/10/2018 13:02:25	3.380	34.819	3.375	14.857	27.831	1497.934	1020.498
15/10/2018 13:02:26	3.500	34.843	3.500	14.857	27.852	1497.962	1020.515
15/10/2018 13:02:26	3.630	34.919	3.625	14.858	27.919	1498.043	1020.566
15/10/2018 13:02:26	3.750	35.024	3.750	14.860	28.011	1498.159	1020.637
15/10/2018 13:02:27	3.880	35.159	3.875	14.861	28.130	1498.303	1020.728
15/10/2018 13:02:27	4.130	35.213	4.125	14.862	28.177	1498.365	1020.766
15/10/2018 13:02:27	4.250	35.298	4.250	14.864	28.251	1498.458	1020.823
15/10/2018 13:02:27	4.380	35.324	4.375	14.863	28.274	1498.486	1020.841
15/10/2018 13:02:28	4.500	35.345	4.500	14.864	28.292	1498.510	1020.856
15/10/2018 13:02:28	4.630	35.357	4.625	14.864	28.303	1498.526	1020.864
15/10/2018 13:02:28	4.750	35.391	4.750	14.863	28.334	1498.561	1020.889
15/10/2018 13:02:29	4.880	35.372	4.875	14.862	28.317	1498.542	1020.877
15/10/2018 13:02:29	5.000	35.371	5.000	14.863	28.316	1498.544	1020.877
15/10/2018 13:02:29	5.130	35.360	5.125	14.863	28.306	1498.535	1020.869
15/10/2018 13:02:30	5.250	35.364	5.250	14.863	28.309	1498.539	1020.873
15/10/2018 13:02:30	5.380	35.373	5.375	14.864	28.317	1498.553	1020.879
15/10/2018 13:02:30	5.500	35.373	5.500	14.863	28.318	1498.554	1020.880
15/10/2018 13:02:31	5.630	35.418	5.625	14.864	28.357	1498.605	1020.911
15/10/2018 13:02:31	5.750	35.404	5.750	14.863	28.344	1498.591	1020.902
15/10/2018 13:02:31	5.880	35.425	5.875	14.864	28.364	1498.615	1020.917
15/10/2018 13:02:31	6.000	35.432	6.000	14.863	28.370	1498.623	1020.923
15/10/2018 13:02:32	6.250	35.435	6.250	14.863	28.373	1498.630	1020.926
15/10/2018 13:02:32	6.380	35.491	6.375	14.864	28.422	1498.692	1020.964
15/10/2018 13:02:32	6.500	35.521	6.500	14.862	28.449	1498.722	1020.986
15/10/2018 13:02:33	6.630	35.600	6.625	14.863	28.519	1498.805	1021.040
15/10/2018 13:02:33	6.750	35.646	6.750	14.861	28.561	1498.851	1021.073
15/10/2018 13:02:33	6.880	35.822	6.875	14.862	28.717	1499.038	1021.193
15/10/2018 13:02:34	7.000	36.053	7.000	14.861	28.922	1499.277	1021.352
15/10/2018 13:02:34	7.130	36.064	7.125	14.861	28.933	1499.288	1021.361
15/10/2018 13:02:34	7.250	36.135	7.250	14.861	28.995	1499.364	1021.410
15/10/2018 13:02:35	7.380	36.173	7.375	14.859	29.031	1499.401	1021.438
