[Application]
Name=DataLog.exe
Title=Valeport Datalog X2
Version=1.0.4.1270
DateSeparator=/
TimeSeparator=:
ThousandSeparator=,
DecimalSeparator=.

[Header]
Count=45
Instrument=
Device_Series=400
Device_Type=606 (5000DBAR)
Serial_Number=20166
Firmware=0400703Z
Latitude=
Longitude=
Site_Info=MBA SEPIA
Sampling_Mode=2 Continuous
Sampling_Rate=8 Hz
Sampling_Period=5 Secs
Average_Type=0 None
Average_Period=1 Secs
File_Number=0
Density=1025.973
Gravity=9.807
Battery=12.73 Volts
Pressure_Tare=11.375
Pressure_Tare_Mode=
Pressure_Tare_Time=2018/08/13 10:08:09.000
Time_Stamp=17/10/2018 09:28:03
Time_Interval=120
Application_Name=Valeport Datalog X2
Application_Version=1.0.4.1270
Previous File Location=5911050
No of Bytes Stored in Previous File=15208
Model Name=606 (5000DBAR)
File Name=UNKNOWN
Site Information=MBA SEPIA
Serial No.=20166
No. of Modules Connected=2
Fitted Address List=10;20
Parameters for each module=1;2
Secondary Cal Used=1;0;0;1;1;0
Gain=500;0;0;8;1000;0
Offset=-20000;0;0;-20000;-20000;0
Gain Control Settings=0;154
SD Selected Flag=1
Average Mode=NONE
Moving Average Length=1
Sample Mode=CONT
Sample Rate=8
Sample Period=5
Tare Time Stamp=13/08/2018 10:08:09
External PSU Voltage=12

[Columns]
Count=8
Date/Time=Date/Time;;
Depth=Float;m;Calculated
Conductivity=Float;MS/CM;
Pressure=Float;DBAR;
Temperature=Float;C;
Salinity=Float;PSU;Calculated
Sound Velocity=Float;M/SEC;Calculated
Density=Float;kg/m³;Calculated

[Data]
Date/Time	Depth	Conductivity	Pressure	Temperature	Salinity	Sound Velocity	Density
17/10/2018 09:29:31	0.130	0.028	0.125	15.887	0.025	1469.039	998.982
17/10/2018 09:29:31	0.250	0.037	0.250	15.882	0.032	1469.032	998.988
17/10/2018 09:31:01	0.380	15.149	0.375	14.099	11.409	1476.246	1008.017
17/10/2018 09:31:01	0.500	15.725	0.500	13.881	11.947	1476.122	1008.467
17/10/2018 09:31:01	0.630	19.858	0.625	13.877	15.428	1480.175	1011.142
17/10/2018 09:31:02	0.750	27.808	0.750	13.963	22.222	1488.403	1016.348
17/10/2018 09:31:02	0.880	29.903	0.875	14.136	23.962	1491.020	1017.654
17/10/2018 09:31:02	1.000	31.055	1.000	14.380	24.826	1492.838	1018.272
17/10/2018 09:31:03	1.130	32.389	1.125	14.522	25.912	1494.573	1019.080
17/10/2018 09:31:03	1.250	33.448	1.250	14.613	26.788	1495.893	1019.736
17/10/2018 09:31:03	1.380	34.806	1.375	14.701	27.931	1497.512	1020.598
17/10/2018 09:31:03	1.500	34.734	1.500	14.703	27.866	1497.445	1020.548
17/10/2018 09:31:03	1.630	36.465	1.625	14.788	29.348	1499.444	1021.671
17/10/2018 09:31:04	1.880	37.632	1.875	14.833	30.357	1500.768	1022.439
17/10/2018 09:31:04	2.000	38.186	2.000	14.863	30.831	1501.418	1022.798
17/10/2018 09:31:04	2.130	38.398	2.125	14.893	30.997	1501.710	1022.921
17/10/2018 09:31:04	2.250	38.434	2.250	14.907	31.019	1501.781	1022.935
17/10/2018 09:31:04	2.380	38.527	2.375	14.916	31.095	1501.901	1022.992
17/10/2018 09:31:05	2.500	38.634	2.500	14.926	31.183	1502.038	1023.058
