[Application]
Name=DataLog.exe
Title=Valeport Datalog X2
Version=1.0.4.1270
DateSeparator=/
TimeSeparator=:
ThousandSeparator=,
DecimalSeparator=.

[Header]
Count=43
Instrument=
Device_Series=
Device_Type=
Serial_Number=
Firmware=
Latitude=
Longitude=
Site_Info=
Sampling_Mode=
Sampling_Rate=
Sampling_Period=
Average_Type=
Average_Period=
File_Number=
Density=1025.973
Gravity=9.807
Battery=
Pressure_Tare=11.375
Pressure_Tare_Mode=
Pressure_Tare_Time=
Time_Stamp=17/10/2018 14:41:23
Time_Interval=120
Previous File Location=5940428
No of Bytes Stored in Previous File=869814
Model Name=606 (5000DBAR)
File Name=UNKNOWN
Site Information=MBA SEPIA
Serial No.=20166
No. of Modules Connected=2
Fitted Address List=10;20
Parameters for each module=1;2
Secondary Cal Used=1;0;0;1;1;0
Gain=500;0;0;8;1000;0
Offset=-20000;0;0;-20000;-20000;0
Gain Control Settings=0;154
SD Selected Flag=1
Average Mode=NONE
Moving Average Length=1
Sample Mode=CONT
Sample Rate=8
Sample Period=5
Tare Time Stamp=13/08/2018 10:08:09
External PSU Voltage=11

[Calibrations]

[Columns]
Count=8
Date/Time=Date/Time;;
Depth=Float;m;Calculated
Conductivity=Float;MS/CM;
Pressure=Float;DBAR;
Temperature=Float;C;
Salinity=Float;PSU;Calculated
Sound Velocity=Float;M/SEC;Calculated
Density=Float;kg/m³;Calculated

[Data]
Date/Time	Depth	Conductivity	Pressure	Temperature	Salinity	Sound Velocity	Density
17/10/2018 14:42:01	0.130	0.100	0.125	15.523	0.082	1467.846	999.082
17/10/2018 14:42:01	0.250	0.973	0.250	15.498	0.780	1468.571	999.622
17/10/2018 14:42:41	0.380	32.818	0.375	14.808	26.100	1495.716	1019.164
17/10/2018 14:42:41	0.500	32.945	0.500	14.848	26.185	1495.946	1019.221
17/10/2018 14:42:41	0.630	33.037	0.625	14.875	26.247	1496.110	1019.264
17/10/2018 14:42:41	0.750	32.942	0.750	14.878	26.163	1496.021	1019.199
17/10/2018 14:42:42	0.880	32.918	0.875	14.873	26.144	1495.988	1019.186
17/10/2018 14:42:42	1.000	32.938	1.000	14.870	26.163	1496.004	1019.202
17/10/2018 14:42:42	1.130	32.984	1.125	14.869	26.205	1496.048	1019.235
17/10/2018 14:42:42	1.250	33.273	1.250	14.867	26.460	1496.340	1019.432
17/10/2018 14:42:43	1.380	33.369	1.375	14.863	26.547	1496.432	1019.501
17/10/2018 14:42:43	1.500	33.297	1.500	14.864	26.483	1496.363	1019.451
17/10/2018 14:42:43	1.630	33.478	1.625	14.866	26.641	1496.554	1019.573
17/10/2018 14:42:44	1.880	33.782	1.875	14.864	26.910	1496.864	1019.781
17/10/2018 14:42:44	2.000	33.907	2.000	14.853	27.028	1496.966	1019.875
17/10/2018 14:42:44	2.130	33.975	2.125	14.846	27.093	1497.022	1019.926
17/10/2018 14:42:44	2.250	33.950	2.250	14.845	27.071	1496.995	1019.911
17/10/2018 14:42:45	2.380	34.288	2.375	14.844	27.371	1497.341	1020.142
17/10/2018 14:42:45	2.500	34.518	2.500	14.841	27.576	1497.573	1020.301
17/10/2018 14:42:46	2.630	34.568	2.625	14.839	27.622	1497.621	1020.337
17/10/2018 14:42:46	2.750	34.959	2.750	14.837	27.969	1498.020	1020.605
17/10/2018 14:42:46	2.880	35.344	2.875	14.832	28.315	1498.408	1020.873
17/10/2018 14:42:46	3.000	35.935	3.000	14.831	28.842	1499.017	1021.279
17/10/2018 14:42:47	3.130	36.628	3.125	14.831	29.460	1499.739	1021.755
17/10/2018 14:42:47	3.250	36.575	3.250	14.832	29.412	1499.689	1021.718
17/10/2018 14:42:47	3.380	37.153	3.375	14.832	29.928	1500.292	1022.116
